time_1,time_2,claro_uem,nublado_uem,int_uem,claro_dindiza,nublado_dindiza,int_dindiza,claro_massangena,nublado_massangena,int_massangena,claro_pomene,nublado_pomene,int_pomene,claro_maravia,nublado_maravia,int_maravia,claro_nhangau,nublado_nhangau,int_nhangau,claro_nhapassa_1,nublado_nhapassa_1,int_nhapassa_1,claro_lugela_1,nublado_lugela_1,int_lugela_1,claro_chomba,nublado_chomba,int_chomba,claro_nanhupo_1,nublado-nanhupo_1,int_nanhupo_1,claro_massangulo_1,nublado_massangulo_1,int_massangulo_1
12:41:00,,,,1.070917946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:42:00,,,,1.109362328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:43:00,,,,1.112037585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:44:00,,,,1.11063247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:45:00,,,,1.113358149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:46:00,,,,1.110619465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:47:00,,,,1.110643464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:48:00,,,,1.109312538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:49:00,,,,1.109376281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:50:00,,,,1.109461875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:51:00,,,,1.112330583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:52:00,,,,1.11522878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:53:00,,,,1.113998851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:54:00,,,,1.115560959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:55:00,,,,1.11714822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:56:00,,,,1.117368914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:57:00,,,,1.116218138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:58:00,,,,1.115084697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12:59:00,,,,1.115365605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:00:00,,,,1.114268897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:01:00,,,,1.114590827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:02:00,,,,1.116339026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:03:00,,,,1.116706629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:04:00,,,,1.115688084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:05:00,,,,1.116098295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:06:00,,,,1.110875654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:07:00,,,,1.11415165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:08:00,,,,1.114622347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:09:00,,,,1.113695423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:10:00,,,,1.112785898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:11:00,,,,1.111893767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:12:00,,,,1.112446395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:13:00,,,,1.108730667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:14:00,,,,1.110754281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:15:00,,,,1.111369568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:16:00,,,,1.112007656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:17:00,,,,1.111228065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:18:00,,,,1.111909353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:19:00,,,,1.109720383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:20:00,,,,1.110443465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13:21:00,,,,1.106831039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
